date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:48:11	614/614	---MCZ	200	added ('OK')	text/css	etag:W/%22335-5f3cec21-96a8d89a1e8b80be;gz%22	https://nsdbytes.com/template/osam/assets/vendor/chartist-plugin-tooltip/chartist-plugin-tooltip.css	D:/Plantillas/12/nsdbytes.com/template/osam/assets/vendor/chartist-plugin-tooltip/chartist-plugin-tooltip.css	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:11	8570/8570	---M-Z	200	added ('OK')	text/css	etag:%22217a-5f3cebd3-315f2c2f2149dac6;gz%22	https://nsdbytes.com/template/osam/assets/vendor/toastr/toastr.min.css	D:/Plantillas/12/nsdbytes.com/template/osam/assets/vendor/toastr/toastr.min.css	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:12	6107/6107	---MCZ	200	added ('OK')	text/css	etag:W/%2219eb-5f3cebab-be8783292f434059;gz%22	https://nsdbytes.com/template/osam/assets/vendor/jvectormap/jquery-jvectormap-2.0.3.css	D:/Plantillas/12/nsdbytes.com/template/osam/assets/vendor/jvectormap/jquery-jvectormap-2.0.3.css	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:12	133881/133881	---M-Z	200	added ('OK')	text/css	etag:%2220af9-5f3cec87-2688893346eb941a;gz%22	https://nsdbytes.com/template/osam/light/assets/css/site.min.css	D:/Plantillas/12/nsdbytes.com/template/osam/light/assets/css/site.min.css	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:12	2413/2413	---M-Z	200	added ('OK')	image/svg+xml	etag:%2296d-5f3ceab8-b4e75c55449fea4d;gz%22	https://nsdbytes.com/template/osam/assets/images/icon.svg	D:/Plantillas/12/nsdbytes.com/template/osam/assets/images/icon.svg	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:12	41655/41655	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:02:12%20GMT	https://nsdbytes.com/template/osam/light/page-social.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/page-social.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:13	31042/31042	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:31%20GMT	https://nsdbytes.com/template/osam/light/page-news.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/page-news.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:13	2245/2245	---M--	200	added ('OK')	image/jpeg	etag:%228c5-5f3ceb38-5e90991bec4d112f;;;%22	https://nsdbytes.com/template/osam/assets/images/xs/avatar4.jpg	D:/Plantillas/12/nsdbytes.com/template/osam/assets/images/xs/avatar4.jpg	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:13	2674/2674	---M--	200	added ('OK')	image/jpeg	etag:%22a72-5f3ceb3d-446fa72d08ce8fd9;;;%22	https://nsdbytes.com/template/osam/assets/images/xs/avatar1.jpg	D:/Plantillas/12/nsdbytes.com/template/osam/assets/images/xs/avatar1.jpg	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:13	1522/1522	---M--	200	added ('OK')	image/jpeg	etag:%225f2-5f3ceb37-2ed752d0393827f4;;;%22	https://nsdbytes.com/template/osam/assets/images/xs/avatar5.jpg	D:/Plantillas/12/nsdbytes.com/template/osam/assets/images/xs/avatar5.jpg	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:13	2163/2163	---M--	200	added ('OK')	image/jpeg	etag:%22873-5f3ceb3b-539565a31788588e;;;%22	https://nsdbytes.com/template/osam/assets/images/xs/avatar2.jpg	D:/Plantillas/12/nsdbytes.com/template/osam/assets/images/xs/avatar2.jpg	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:14	3344/3344	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:09%20GMT	https://nsdbytes.com/template/osam/light/page-login.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/page-login.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:14	24870/24870	---M--	200	added ('OK')	image/jpeg	etag:%226126-5f3ceb5a-7ac43f68c543d67c;;;%22	https://nsdbytes.com/template/osam/assets/images/image-gallery/7.jpg	D:/Plantillas/12/nsdbytes.com/template/osam/assets/images/image-gallery/7.jpg	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:14	35235/35235	---M--	200	added ('OK')	image/jpeg	etag:%2289a3-5f3ceb4c-935db0dc014cb273;;;%22	https://nsdbytes.com/template/osam/assets/images/image-gallery/8.jpg	D:/Plantillas/12/nsdbytes.com/template/osam/assets/images/image-gallery/8.jpg	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:14	67388/67388	---M--	200	added ('OK')	image/jpeg	etag:%221073c-5f3ceb4d-265c01b73ebcf091;;;%22	https://nsdbytes.com/template/osam/assets/images/image-gallery/9.jpg	D:/Plantillas/12/nsdbytes.com/template/osam/assets/images/image-gallery/9.jpg	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:14	2522/2522	---M--	200	added ('OK')	image/jpeg	etag:%229da-5f3ceb3a-98832c7206d86365;;;%22	https://nsdbytes.com/template/osam/assets/images/xs/avatar3.jpg	D:/Plantillas/12/nsdbytes.com/template/osam/assets/images/xs/avatar3.jpg	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:15	15945/15945	---M--	200	added ('OK')	image/png	etag:%223e49-5f3ceab7-3e6127f76a28d6dd;;;%22	https://nsdbytes.com/template/osam/assets/images/user.png	D:/Plantillas/12/nsdbytes.com/template/osam/assets/images/user.png	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:15	39302/39302	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:02:18%20GMT	https://nsdbytes.com/template/osam/light/page-profile.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/page-profile.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:15	30779/30779	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:02:15%20GMT	https://nsdbytes.com/template/osam/light/app-inbox.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/app-inbox.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:15	30584/30584	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2008:57:18%20GMT	https://nsdbytes.com/template/osam/dark/index.html	D:/Plantillas/12/nsdbytes.com/template/osam/dark/index.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:16	28317/28317	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2008:58:38%20GMT	https://nsdbytes.com/template/osam/fluid/index.html	D:/Plantillas/12/nsdbytes.com/template/osam/fluid/index.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:16	30519/30519	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2008:59:57%20GMT	https://nsdbytes.com/template/osam/hmenu/index.html	D:/Plantillas/12/nsdbytes.com/template/osam/hmenu/index.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:16	21288/21288	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:04%20GMT	https://nsdbytes.com/template/osam/landing/index.html	D:/Plantillas/12/nsdbytes.com/template/osam/landing/index.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:16	27971/27971	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:11%20GMT	https://nsdbytes.com/template/osam/light/app-chat.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/app-chat.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:17	26149/26149	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:02:23%20GMT	https://nsdbytes.com/template/osam/light/app-calendar.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/app-calendar.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:17	40107/40107	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:45%20GMT	https://nsdbytes.com/template/osam/light/ui-helper-class.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/ui-helper-class.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:17	40319/40319	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:48%20GMT	https://nsdbytes.com/template/osam/light/ui-bootstrap.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/ui-bootstrap.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:17	26933/26933	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:21%20GMT	https://nsdbytes.com/template/osam/light/ui-typography.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/ui-typography.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:17	35054/35054	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:53%20GMT	https://nsdbytes.com/template/osam/light/ui-tabs.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/ui-tabs.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:18	34827/34827	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:42%20GMT	https://nsdbytes.com/template/osam/light/ui-buttons.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/ui-buttons.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:18	97122/97122	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:07%20GMT	https://nsdbytes.com/template/osam/light/ui-icons.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/ui-icons.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:18	28102/28102	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:02:17%20GMT	https://nsdbytes.com/template/osam/light/ui-notifications.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/ui-notifications.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:18	25629/25629	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:54%20GMT	https://nsdbytes.com/template/osam/light/ui-colors.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/ui-colors.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:19	25249/25249	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:38%20GMT	https://nsdbytes.com/template/osam/light/ui-dialogs.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/ui-dialogs.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:19	29234/29234	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:02:02%20GMT	https://nsdbytes.com/template/osam/light/ui-list-group.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/ui-list-group.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:19	27927/27927	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:16%20GMT	https://nsdbytes.com/template/osam/light/ui-media-object.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/ui-media-object.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:19	34673/34673	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:25%20GMT	https://nsdbytes.com/template/osam/light/ui-modals.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/ui-modals.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:19	28196/28196	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:19%20GMT	https://nsdbytes.com/template/osam/light/ui-nestable.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/ui-nestable.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:20	28526/28526	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:20%20GMT	https://nsdbytes.com/template/osam/light/ui-progressbars.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/ui-progressbars.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:20	24516/24516	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:02:23%20GMT	https://nsdbytes.com/template/osam/light/ui-range-sliders.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/ui-range-sliders.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:20	35488/35488	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:42%20GMT	https://nsdbytes.com/template/osam/light/forms-basic.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/forms-basic.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:21	42596/42596	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:57%20GMT	https://nsdbytes.com/template/osam/light/forms-advanced.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/forms-advanced.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:24	27673/27673	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:02:07%20GMT	https://nsdbytes.com/template/osam/light/forms-validation.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/forms-validation.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:25	32790/32790	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:02:20%20GMT	https://nsdbytes.com/template/osam/light/forms-wizard.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/forms-wizard.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:26	24319/24319	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:11%20GMT	https://nsdbytes.com/template/osam/light/forms-dragdropupload.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/forms-dragdropupload.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:26	39203/39203	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:50%20GMT	https://nsdbytes.com/template/osam/light/forms-cropping.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/forms-cropping.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:26	25400/25400	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:02:00%20GMT	https://nsdbytes.com/template/osam/light/forms-summernote.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/forms-summernote.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:26	25087/25087	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:28%20GMT	https://nsdbytes.com/template/osam/light/forms-editors.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/forms-editors.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:26	24086/24086	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:02:04%20GMT	https://nsdbytes.com/template/osam/light/forms-markdown.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/forms-markdown.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:27	28684/28684	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:35%20GMT	https://nsdbytes.com/template/osam/light/table-normal.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/table-normal.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:27	41216/41216	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:29%20GMT	https://nsdbytes.com/template/osam/light/table-jquery-datatable.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/table-jquery-datatable.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:27	24252/24252	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:59%20GMT	https://nsdbytes.com/template/osam/light/table-editable.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/table-editable.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:28	29280/29280	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:23%20GMT	https://nsdbytes.com/template/osam/light/table-color.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/table-color.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:28	26279/26279	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:30%20GMT	https://nsdbytes.com/template/osam/light/table-filter.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/table-filter.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:28	29803/29803	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:02:07%20GMT	https://nsdbytes.com/template/osam/light/table-dragger.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/table-dragger.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:28	25525/25525	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:02:15%20GMT	https://nsdbytes.com/template/osam/light/chart-c3.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/chart-c3.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:28	27716/27716	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:02:25%20GMT	https://nsdbytes.com/template/osam/light/chart-morris.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/chart-morris.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:29	26851/26851	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:33%20GMT	https://nsdbytes.com/template/osam/light/chart-flot.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/chart-flot.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:29	28657/28657	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:02:20%20GMT	https://nsdbytes.com/template/osam/light/chart-chartjs.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/chart-chartjs.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:29	26730/26730	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:08%20GMT	https://nsdbytes.com/template/osam/light/chart-jquery-knob.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/chart-jquery-knob.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:29	25363/25363	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:57%20GMT	https://nsdbytes.com/template/osam/light/chart-sparkline.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/chart-sparkline.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:30	46370/46370	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:24%20GMT	https://nsdbytes.com/template/osam/light/widgets.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/widgets.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:30	3026/3026	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:02:09%20GMT	https://nsdbytes.com/template/osam/light/page-register.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/page-register.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:30	2874/2874	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:26%20GMT	https://nsdbytes.com/template/osam/light/page-forgot-password.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/page-forgot-password.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:30	2874/2874	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:02:13%20GMT	https://nsdbytes.com/template/osam/light/page-404.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/page-404.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:31	23411/23411	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:14%20GMT	https://nsdbytes.com/template/osam/light/page-blank.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/page-blank.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:31	25378/25378	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:51%20GMT	https://nsdbytes.com/template/osam/light/page-search-results.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/page-search-results.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:31	31687/31687	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:36%20GMT	https://nsdbytes.com/template/osam/light/page-invoices.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/page-invoices.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:31	26168/26168	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:38%20GMT	https://nsdbytes.com/template/osam/light/page-gallery.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/page-gallery.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:31	25792/25792	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:02:09%20GMT	https://nsdbytes.com/template/osam/light/page-timeline.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/page-timeline.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:32	24147/24147	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:02:02%20GMT	https://nsdbytes.com/template/osam/light/page-pricing.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/page-pricing.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:32	20968/20968	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:49%20GMT	https://nsdbytes.com/template/osam/light/map-jvectormap.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/map-jvectormap.html	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:32	2114/2114	---M--	200	added ('OK')	image/jpeg	etag:%22842-5f3ceb3b-200166f0351e3111;;;%22	https://nsdbytes.com/template/osam/assets/images/xs/avatar10.jpg	D:/Plantillas/12/nsdbytes.com/template/osam/assets/images/xs/avatar10.jpg	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:32	156911/156911	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22264ef-5f3cecae-d5922376d2194b10;gz%22	https://nsdbytes.com/template/osam/light/assets/bundles/libscripts.bundle.js	D:/Plantillas/12/nsdbytes.com/template/osam/light/assets/bundles/libscripts.bundle.js	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:32	77589/77589	---M-Z	200	added ('OK')	application/x-javascript	etag:%2212f15-5f3ceca6-c1ef28b93c7a5d95;gz%22	https://nsdbytes.com/template/osam/light/assets/bundles/vendorscripts.bundle.js	D:/Plantillas/12/nsdbytes.com/template/osam/light/assets/bundles/vendorscripts.bundle.js	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:33	375816/375816	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225bc08-5f3cecaa-1817b95d88fa71f6;gz%22	https://nsdbytes.com/template/osam/light/assets/bundles/jvectormap.bundle.js	D:/Plantillas/12/nsdbytes.com/template/osam/light/assets/bundles/jvectormap.bundle.js	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:33	17728/17728	---M-Z	200	added ('OK')	application/x-javascript	etag:%224540-5f3cebd6-8f16ea14b318cfe;gz%22	https://nsdbytes.com/template/osam/assets/vendor/toastr/toastr.js	D:/Plantillas/12/nsdbytes.com/template/osam/assets/vendor/toastr/toastr.js	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:33	5255/5255	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%221494-5f50892c-197cf0c6572ea238;gz%22	https://nsdbytes.com/template/osam/light/assets/bundles/mainscripts.bundle.js	D:/Plantillas/12/nsdbytes.com/template/osam/light/assets/bundles/mainscripts.bundle.js	(from https://nsdbytes.com/template/osam/light/index.html)
